Image #,RobotX,RobotY,RobotZ,AmbX,AmbY,AmbZ,Distance,omega
35,-4.412724,-0.553713,0.04,-3.690865,-2.114083,0,1.71971944,0.022532088
36,-4.000588,-1.644344,0.04,-4.563086,-2.562624,0,1.077609465,-0.427283071
37,-4.727283,-1.651865,0.04,-2.570165,-3.570372,0,2.887113987,0.121516824
38,-4.726405,-1.652331,0.04,-4.903796,-4.794527,0,3.147453458,-0.146839515
39,-4.725429,-1.653017,0.039995,-3.196183,-4.043,0,2.83764192,0.025644911
40,-4.781308,-2.478755,0.040001,-3.196183,-4.043,0,2.227349044,0.143435636
41,-5.597334,3.689886,0.04,-3.62972,1.861221,0,2.686469902,0.128612178
42,-2.752534,0.060573,0.04,0.083737,-4.197362,0,5.116252891,0.022855595
43,-0.569884,-3.241254,0.04,0.083737,-4.197362,0,1.15886277,0.076637661
44,-0.758055,-2.855503,0.04,0.083737,-4.197362,0,1.584550203,0.030125044
45,-0.757382,-2.855899,0.04,0.083737,-4.197362,0,1.583857365,0.043702882
46,-0.755286,-2.857438,0.04,0.083737,-4.197362,0,1.58144109,0.047152902
47,-0.286352,-2.631214,0.04,0.374916,-4.085507,0,1.598074935,-0.036601429
48,-0.28524,-2.632083,0.039995,0.152307,-4.016476,0,1.452443099,-0.084145079
49,-0.284175,-2.632951,0.04,0.313005,-4.239273,0,1.714203699,-0.038294247
50,-0.284999,-2.633095,0.04,0.313005,-4.239273,0,1.714356017,-0.068225778
51,0.506055,-2.81276,0.039999,1.191543,-4.5693,0,1.885981572,-0.043309225
52,-5.022973,2.822926,0.039995,-5.205415,-2.231106,0,5.057481996,-0.08834188
53,-5.019977,2.821499,0.04,-4.584801,-3.939955,0,6.775561847,-0.050394421
54,-5.018265,2.820641,0.04,-2.505981,-2.890537,0,6.239449098,-0.000144552
55,-5.016373,2.81939,0.04,-0.367813,-1.811159,0,6.561455183,0.054666118
56,-5.014445,2.818595,0.039995,-1.549201,-2.248855,0,6.139101325,0.030188828
57,-2.323994,-0.942993,0.04,-1.423999,-2.073365,0,1.445452129,0.080927087
58,-2.322262,-0.943727,0.039995,-1.423999,-2.073365,0,1.443799857,0.07980765
59,-2.10673,-0.871135,0.04,-1.247171,-2.371676,0,1.729758644,-0.027594715
60,0.503969,-1.034347,0.04,-0.726913,-6.51858,0,5.620807958,-0.016736371
61,0.504739,-1.035743,0.039995,-0.726913,-6.51858,0,5.619614561,-0.013265602
62,0.330492,-4.134418,0.04,-1.426076,-6.219548,0,2.726700984,-0.170597676
63,0.331185,-4.135818,0.039995,-1.426076,-6.219548,0,2.726077133,-0.166569171
64,-1.857621,-3.414541,0.04,-4.011932,-6.041075,0,3.397254294,-0.128066525
65,-1.856771,-3.416695,0.039995,-4.011932,-6.041075,0,3.396128519,-0.129378527
66,-4.739629,-0.764493,0.04,-4.959575,-2.669737,0,1.91831461,0.054566271
67,-4.693521,-0.889076,0.04,-4.959575,-2.669737,0,1.800871547,-0.044369823
68,-4.666698,1.543937,0.04,-4.487501,-2.225729,0,3.774134777,0.04555582
69,-5.22931,-0.031168,0.04,-5.278078,-1.692358,0,1.662386999,0.069307215
70,-5.131115,0.24271,0.039999,-5.278078,-1.692358,0,1.941052861,0.024589525
71,-5.127045,0.249951,0.04,-5.278078,-1.692358,0,1.948582874,0.066282501
72,-4.948681,0.337192,0.039995,-2.671733,3.271025,0,3.713955825,-0.014780766
73,-4.651019,0.768945,0.039995,-3.605702,2.036773,0,1.6436773,-0.073287433
74,-4.650647,0.770496,0.04,-3.605702,2.036773,0,1.642244651,-0.060525015
75,-4.650373,0.771616,0.039995,-3.605702,2.036773,0,1.64120667,-0.037819803
76,-4.650013,0.77295,0.039995,-3.605702,2.036773,0,1.63994928,-0.035666284
77,-4.649704,0.774,0.039995,-3.605702,2.036773,0,1.638943387,-0.042233104
78,-4.649427,0.774878,0.04,-3.605702,2.036773,0,1.638090616,-0.037891791
79,-4.64903,0.776048,0.039995,-3.605702,2.036773,0,1.636936297,-0.050987421
80,-1.929576,-1.923902,0.04,-0.373569,-1.93544,0,1.556563815,-0.027205223
81,-1.927024,-1.921137,0.04,-0.373569,-1.93544,0,1.554035718,-0.022620767
82,-1.925507,-1.919524,0.039995,-0.373569,-1.93544,0,1.552534855,-0.00639184
83,-1.924205,-1.918157,0.039995,-0.373569,-1.93544,0,1.551247984,0.0168578
84,-1.922846,-1.916752,0.04,-0.373569,-1.93544,0,1.549905953,0.015709866
85,-1.921759,-1.915643,0.04,-0.373569,-1.93544,0,1.548833173,-0.034295271
86,-1.920512,-1.914387,0.04,-0.373569,-1.93544,0,1.547603268,0.005246491
87,-1.919546,-1.913426,0.039995,-0.373569,-1.93544,0,1.54665093,0.011080857
88,-1.915592,-1.909617,0.04,-0.373569,-1.93544,0,1.542757842,-0.01811832
89,-1.914611,-1.908702,0.039995,-0.373569,-1.93544,0,1.541792777,-0.004096073
90,-6.462165,-1.85225,0.04,-0.373569,-1.93544,0,6.089295676,0.00399738
91,-6.460898,-1.851082,0.04,-2.81597,-2.801042,0,3.766898476,-0.056191948
92,-6.458603,-1.849017,0.04,-2.530656,-0.945811,0,4.030651153,0.064669196
93,-6.859522,-1.592465,0.04,-5.621531,-0.704808,0,1.523862417,0.308553935
94,-6.858353,-1.591485,0.039995,-5.621531,-0.704808,0,1.522341736,0.306931528
95,-3.857926,-1.590899,0.04,-5.621531,-0.704808,0,1.974097226,0.05569475
96,-3.859456,-1.591054,0.039995,-5.621531,-0.704808,0,1.97280001,0.083738863
